id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,rating,bedrooms,beds,baths
53615126,Rental unit in Brooklyn,434043863,Jorge,Brooklyn,Bedford-Stuyvesant,40.69411,-73.94215,Private room,71.0,30,4,4.50,5,1,2.5
25917853,Guest suite in Brooklyn,94363111,Jessica,Brooklyn,Prospect-Lefferts Gardens,40.66156,-73.95902,Entire home/apt,130.0,30,92,4.97,Studio,2,1
35548721,Rental unit in Brooklyn,119155499,Julio,Brooklyn,Bushwick,40.69595,-73.92627,Private room,49.0,30,24,4.42,1,1,1
518566,Rental unit in New York,1497427,Mara,Manhattan,Upper East Side,40.77124,-73.96119,Private room,75.0,30,15,4.80,1,1,1
568179775239963391,Rental unit in Queens,446383801,Bianca,Queens,Ridgewood,40.7035,-73.90966,Entire home/apt,161.0,30,31,4.84,2,3,1
903129847390759842,Rental unit in Brooklyn,68082479,Sunshine,Brooklyn,Bedford-Stuyvesant,40.68581547276964,-73.92834175925513,Private room,41.0,30,2,No rating,1,1,1
52329966,Rental unit in Brooklyn,3490498,Marina,Brooklyn,Bedford-Stuyvesant,40.68321,-73.95691,Private room,105.0,30,33,4.85,1,1,1
53582406,Rental unit in New York,24071322,Michael,Manhattan,Tribeca,40.71284,-74.01115,Entire home/apt,119.0,30,12,4.75,1,1,1
6226794,Rental unit in New York,32295605,Yana,Manhattan,Upper East Side,40.76486,-73.95991,Private room,214.0,30,91,4.38,1,2,1
29412897,Rental unit in Brooklyn,1949282,Kyla,Brooklyn,Bushwick,40.69246,-73.90952,Private room,60.0,30,21,4.90,1,1,1.5
24369857,Townhouse in Brooklyn,2790890,Phil,Brooklyn,Bedford-Stuyvesant,40.69369,-73.94971,Entire home/apt,106.0,30,180,4.78,1,1,1
32284162,Rental unit in Brooklyn,6960621,Diego,Brooklyn,Williamsburg,40.71234,-73.96139,Entire home/apt,130.0,30,139,4.82,2,2,1
709347231196094496,Rental unit in Brooklyn,30937204,Tyler,Brooklyn,Williamsburg,40.71673046658122,-73.96193729364752,Entire home/apt,182.0,30,12,5.0,1,1,1
53771662,Rental unit in New York,51426218,Mary,Manhattan,Kips Bay,40.73947,-73.98266,Private room,115.0,30,22,4.68,2,1,1
700586064334508163,Rental unit in Brooklyn,26693629,Toshi,Brooklyn,Williamsburg,40.7089783,-73.9616398,Entire home/apt,150.0,30,4,4.75,1,1,1
866844974126855157,Rental unit in New York,135595905,Chase,Manhattan,Hell's Kitchen,40.76798587322249,-73.98563914654228,Private room,123.0,30,29,4.79,1,1,1
755673708679842154,Rental unit in New York,486875574,Jacob,Manhattan,Upper West Side,40.78271,-73.9726,Entire home/apt,160.0,30,3,4.33,1,1,1
53596672,Rental unit in Brooklyn,434043863,Jorge,Brooklyn,Bedford-Stuyvesant,40.69251,-73.94309,Private room,68.0,30,10,4.80,5,1,2.5
43473890,Rental unit in Brooklyn,346638859,Gonzo,Brooklyn,Williamsburg,40.7111,-73.96197,Entire home/apt,119.0,30,126,4.62,1,1,1
821873417916733742,Rental unit in Brooklyn,7451613,Charlie,Brooklyn,Bushwick,40.6980527597097,-73.93297597656131,Private room,100.0,30,1,No rating,1,1,1
248966,Rental unit in Brooklyn,1304390,Barry,Brooklyn,Bushwick,40.69913,-73.93107,Private room,95.0,30,41,4.63,1,1,2
729000632141002581,Rental unit in Brooklyn,65611806,Ayesha,Brooklyn,Bushwick,40.69722,-73.91492,Private room,111.0,1,18,4.56,1,1,1
831083864081697895,Rental unit in Brooklyn,2119276,Urban Furnished,Brooklyn,Greenpoint,40.73441934290953,-73.9566964637026,Entire home/apt,305.0,30,1,No rating,2,3,2
689925344030736336,Rental unit in Brooklyn,420088913,Hershey,Brooklyn,Williamsburg,40.70216,-73.93979,Entire home/apt,410.0,30,37,4.97,2,2,2
50809342,Rental unit in Brooklyn,75395247,Ramiro,Brooklyn,Williamsburg,40.71024,-73.96103,Entire home/apt,85.0,30,9,4.67,1,1,1
50551102,Rental unit in Brooklyn,4888892,Darina,Brooklyn,Bushwick,40.70041,-73.91948,Private room,60.0,30,14,4.64,5,1,4
692677180661715061,Townhouse in Brooklyn,83143535,Michelle,Brooklyn,Crown Heights,40.67519,-73.94258,Private room,70.0,30,56,4.66,1,1,2
802528180126158845,Condo in Brooklyn,266871,Denmo,Brooklyn,Bushwick,40.70509031518221,-73.920870461594,Entire home/apt,125.0,60,1,No rating,1,2,1
46725493,Condo in New York,61391963,Stay With Vibe,Manhattan,Kips Bay,40.74077,-73.97589,Entire home/apt,99.0,30,7,4.71,Studio,1,1
46901954,Rental unit in Brooklyn,3223938,Eugene,Brooklyn,Bushwick,40.69324,-73.91139,Private room,41.0,90,1,No rating,1,1,2
